DOES_CAR_HAVE_HYDRAULICS                               0xF0956CA    boolean DOES_CAR_HAVE_HYDRAULICS(Car car)
DOES_OBJECT_HAVE_THIS_MODEL                            0x7505765B   boolean DOES_OBJECT_HAVE_THIS_MODEL(Object obj, uint model)
DOES_PLAYER_HAVE_CONTROL_OF_NETWORK_ID                 0x3D0B5E56   -
DONT_REMOVE_CHAR                                       0x3659084A   -
DONT_REMOVE_OBJECT                                     0x74FF26F9   void DONT_REMOVE_OBJECT(Object obj)
DONT_SUPPRESS_ANY_CAR_MODELS                           0x69F55DCC   void DONT_SUPPRESS_ANY_CAR_MODELS(void)
DO_WEAPON_STUFF_AT_START_OF_2P_GAME                    0x18194E99   -
DRAW_CORONA                                            0x39ED0C43   void DRAW_CORONA(float x, float y, float z, float radius, ScriptAny, ScriptAny, ScriptAny, ScriptAny, ScriptAny)
DRAW_CURVED_WINDOW_NOTEXT                              0x12B9197E   void DRAW_CURVED_WINDOW_NOTEXT(float, float, float, float, int)
DRAW_CURVED_WINDOW_TEXT                                0x7DD67E15   void DRAW_CURVED_WINDOW_TEXT(float, float, float, int, int, char *, char *, int)
DRAW_DEBUG_SPHERE                                      0x539572F3   -
DRAW_SPHERE                                            0x769F6E66   void DRAW_SPHERE(float x, float y, float z, float radius)
DRAW_SPRITE_FRONT_BUFF                                 0x22417905   void DRAW_SPRITE_FRONT_BUFF(float x0, float y0, float x1, float y1, float rotation, int r, int g, int b, int a)
DRAW_SPRITE_WITH_FIXED_ROTATION                        0x7CB404D4   void DRAW_SPRITE_WITH_FIXED_ROTATION(uint texture, float, float, float, float, float angle, int r, int g, int b, int a)
DRAW_SPRITE_WITH_UV                                    0x58C41E8F   void DRAW_SPRITE_WITH_UV(uint texture, float, float, float, float, float angle, int r, int g, int b, int a)
DRAW_SPRITE_WITH_UV_COORDS                             0x2D1D17C9   void DRAW_SPRITE_WITH_UV_COORDS(uint texture, float, float, float, float, float, float, float, float, float angle, int r, int g, int b, int a)
DRAW_WINDOW                                            0x232642DE   void DRAW_WINDOW(float, float, float, float, char *str, uint alpha)
DRAW_WINDOW_TEXT                                       0x3D0F5735   void DRAW_WINDOW_TEXT(float, float, float, int, char *, int)
ENABLE_ALL_PED_HELMETS                                 0x6C305137   void ENABLE_ALL_PED_HELMETS(boolean enable)
ENABLE_CAM_COLLISION                                   0x71AE1BDC   void ENABLE_CAM_COLLISION(int cam, boolean enable)
ENABLE_DEBUG_CAM                                       0x296B09E8   void ENABLE_DEBUG_CAM(boolean enable)
ENABLE_DEFERRED_LIGHTING                               0x6CFC30AD   void ENABLE_DEFERRED_LIGHTING(boolean enable)
ENABLE_DISABLED_ATTRACTORS_ON_OBJECT                   0x17F62193   void ENABLE_DISABLED_ATTRACTORS_ON_OBJECT(Object obj, boolean enable)
ENABLE_FANCY_WATER                                     0x74FC2325   void ENABLE_FANCY_WATER(boolean enable)
ENABLE_FOV_LOD_MULTIPLIER                              0x556B0755   void ENABLE_FOV_LOD_MULTIPLIER(boolean enable)
ENABLE_GPS_IN_VEHICLE                                  0x144F3CE5   void ENABLE_GPS_IN_VEHICLE(Vehicle veh, boolean enable)
ENABLE_SCRIPT_CONTROLLED_MICROPHONE                    0x3EA0648D   boolean ENABLE_SCRIPT_CONTROLLED_MICROPHONE(void)
ENABLE_SHADOWS                                         0x41596B09   void ENABLE_SHADOWS(boolean enable)
END_PED_QUEUE_MEMBERSHIP_LIST                          0x4449534F   -
EXP                                                    0x1BA61E20   float EXP(float)
EXPLODE_CAR_IN_CUTSCENE_SHAKE_AND_BIT                  0x7CF61A81   void EXPLODE_CAR_IN_CUTSCENE_SHAKE_AND_BIT(Car car, boolean flag0, boolean flag1, boolean flag2)
EXTEND_PATROL_ROUTE                                    0xF3402B8    void EXTEND_PATROL_ROUTE(ScriptAny, ScriptAny, ScriptAny, ScriptAny, ScriptAny)
FAIL_KILL_FRENZY                                       0x5EA253A5   void FAIL_KILL_FRENZY(void)
